Depth,Updates,Observer Callbacks,Time (ms)
800,46,46,947
800,47,47,928
800,48,48,949
800,49,49,969
800,50,50,996
800,51,51,1016
810,46,46,939
810,47,47,958
810,48,48,974
810,49,49,999
810,50,50,1023
810,51,51,1043
820,46,46,960
820,47,47,989
820,48,48,1010
820,49,49,1017
820,50,50,1039
820,51,51,1071
830,46,46,976
830,47,47,1011
830,48,48,1036
830,49,49,1052
830,50,50,1074
830,51,51,1104
840,46,46,1017
840,47,47,1031
840,48,48,1052
840,49,49,1083
840,50,50,1119
840,51,51,1136
850,46,46,1023
850,47,47,1052
850,48,48,1096
850,49,49,1098
850,50,50,1123
850,51,51,1158
860,46,46,1049
860,47,47,1081
860,48,48,1100
860,49,49,1122
860,50,50,1161
860,51,51,1191
870,46,46,1073
870,47,47,1125
870,48,48,1127
870,49,49,1155
870,50,50,1174
870,51,51,1215
880,46,46,1099
880,47,47,1129
880,48,48,1179
880,49,49,1167
880,50,50,1218
880,51,51,1223
890,46,46,1122
890,47,47,1149
890,48,48,1175
890,49,49,1212
890,50,50,1230
890,51,51,1280
900,46,46,1163
900,47,47,1176
900,48,48,1208
900,49,49,1258
900,50,50,1257
900,51,51,1276
